Recebimentos;;;;;;;;;
Tipo;FormaPagamento;Pagamento;Crédito;Valor;ValorLiquido;Pedido;Colaborador;Id Caixa;Unidade
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 17:43:45;01/06/2022;R$ 10,50;R$ 10,26;150936;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Pagamento Instantâneo (PIX) Outros;31/05/2022 17:41:33;31/05/2022;R$ 47,50;R$ 47,50;150934;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 17:37:56;01/06/2022;R$ 56,00;R$ 55,05;150933;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 17:32:45;01/06/2022;R$ 32,00;R$ 31,46;150931;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 17:28:24;31/05/2022;R$ 10,00;R$ 10,00;150929;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 17:24:01;31/05/2022;R$ 15,00;R$ 15,00;150926;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 17:20:54;01/06/2022;R$ 28,00;R$ 27,52;150920;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 17:19:04;01/06/2022;R$ 38,50;R$ 37,85;150925;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 17:07:16;01/06/2022;R$ 28,00;R$ 27,52;150923;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 17:00:13;01/06/2022;R$ 14,00;R$ 13,76;150921;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 16:55:31;31/05/2022;R$ 4,00;R$ 4,00;150919;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 16:46:27;01/06/2022;R$ 10,00;R$ 9,83;150914;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 16:30:51;31/05/2022;R$ 6,00;R$ 6,00;150917;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 16:30:03;01/06/2022;R$ 12,00;R$ 11,79;150916;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Elo;31/05/2022 16:24:45;31/05/2022;R$ 14,00;R$ 13,66;150915;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 16:19:08;01/06/2022;R$ 28,00;R$ 27,52;150913;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 16:18:22;01/06/2022;R$ 14,00;R$ 13,76;150912;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 16:17:34;31/05/2022;R$ 8,00;R$ 8,00;150910;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 16:16:28;31/05/2022;R$ 5,00;R$ 5,00;150909;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 16:15:06;01/06/2022;R$ 18,00;R$ 17,60;150908;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 16:13:55;01/06/2022;R$ 26,00;R$ 25,56;150907;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Elo;31/05/2022 16:12:42;31/05/2022;R$ 93,00;R$ 90,80;150906;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 16:10:25;31/05/2022;R$ 32,00;R$ 32,00;150905;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 16:07:42;01/06/2022;R$ 10,00;R$ 9,83;150904;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 16:06:43;01/06/2022;R$ 14,00;R$ 13,76;150903;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 16:06:30;01/06/2022;R$ 19,00;R$ 18,68;150903;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 16:05:13;01/06/2022;R$ 13,00;R$ 12,78;150902;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 15:58:06;01/06/2022;R$ 24,50;R$ 24,08;150901;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 15:50:52;31/05/2022;R$ 9,50;R$ 9,50;150900;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 15:47:47;31/05/2022;R$ 60,00;R$ 60,00;150888;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Elo;31/05/2022 15:47:04;31/05/2022;R$ 19,00;R$ 18,55;150899;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 15:45:28;01/06/2022;R$ 26,00;R$ 25,56;150898;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 15:44:46;01/06/2022;R$ 25,50;R$ 25,07;150897;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 15:42:01;31/05/2022;R$ 12,00;R$ 12,00;150896;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 15:31:07;31/05/2022;R$ 18,00;R$ 18,00;150895;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 15:23:31;01/06/2022;R$ 27,50;R$ 27,03;150894;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 15:22:12;31/05/2022;R$ 4,00;R$ 4,00;150893;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 14:59:45;01/06/2022;R$ 29,00;R$ 28,51;150892;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Elo;31/05/2022 14:58:03;31/05/2022;R$ 10,00;R$ 9,76;150891;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 14:57:12;01/06/2022;R$ 8,50;R$ 8,35;150890;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 14:56:22;01/06/2022;R$ 8,50;R$ 8,31;150889;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 14:49:44;31/05/2022;R$ 5,00;R$ 5,00;150887;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 14:48:51;01/06/2022;R$ 14,00;R$ 13,76;150886;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 14:47:03;31/05/2022;R$ 12,00;R$ 12,00;150885;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 14:37:35;01/06/2022;R$ 28,00;R$ 27,37;150884;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 14:35:53;01/06/2022;R$ 15,00;R$ 14,66;150883;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 14:32:56;01/06/2022;R$ 37,00;R$ 36,37;150881;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Elo;31/05/2022 14:31:20;31/05/2022;R$ 8,50;R$ 8,29;150882;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 14:28:41;31/05/2022;R$ 25,00;R$ 25,00;150880;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 14:13:51;31/05/2022;R$ 5,50;R$ 5,50;150879;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 14:11:33;01/06/2022;R$ 4,00;R$ 3,91;150878;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 14:02:15;01/06/2022;R$ 9,50;R$ 9,34;150876;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 13:57:49;01/06/2022;R$ 8,00;R$ 7,86;150875;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 13:54:33;01/06/2022;R$ 35,99;R$ 35,19;150873;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 13:53:08;15/06/2022;R$ 31,49;R$ 27,71;150872;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 13:52:14;15/06/2022;R$ 37,99;R$ 33,43;150871;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 13:47:14;31/05/2022;R$ 12,00;R$ 12,00;150869;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 13:42:56;01/06/2022;R$ 13,00;R$ 12,71;150868;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 13:41:09;01/06/2022;R$ 12,00;R$ 11,79;150867;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Pagamento Instantâneo (PIX) Outros;31/05/2022 13:35:54;31/05/2022;R$ 16,00;R$ 16,00;150866;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Pagamento Instantâneo (PIX) Outros;31/05/2022 13:32:41;31/05/2022;R$ 15,00;R$ 15,00;150865;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 13:29:20;01/06/2022;R$ 14,50;R$ 14,25;150864;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 13:27:46;01/06/2022;R$ 15,00;R$ 14,74;150863;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 13:25:31;31/05/2022;R$ 4,00;R$ 4,00;150862;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 13:18:21;31/05/2022;R$ 9,00;R$ 9,00;150860;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 13:09:59;01/06/2022;R$ 18,00;R$ 17,69;150857;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 13:09:28;31/05/2022;R$ 24,00;R$ 24,00;150857;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 13:00:52;01/06/2022;R$ 16,00;R$ 15,73;150858;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 12:44:58;01/06/2022;R$ 12,50;R$ 12,22;150853;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 12:44:17;01/06/2022;R$ 33,00;R$ 32,26;150856;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 12:28:24;01/06/2022;R$ 9,50;R$ 9,34;150855;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 12:02:08;01/06/2022;R$ 6,00;R$ 5,89;150849;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 11:52:26;01/06/2022;R$ 18,00;R$ 17,69;150852;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 11:24:15;31/05/2022;R$ 5,00;R$ 5,00;150851;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 11:23:59;31/05/2022;R$ 8,00;R$ 8,00;150850;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:45:33;15/06/2022;R$ 48,99;R$ 43,11;150848;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:43:43;15/06/2022;R$ 26,99;R$ 23,75;150847;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 10:42:04;01/06/2022;R$ 35,50;R$ 34,90;150836;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:41:35;15/06/2022;R$ 28,99;R$ 25,51;150846;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 10:35:12;01/06/2022;R$ 15,00;R$ 14,66;150845;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:34:02;15/06/2022;R$ 28,99;R$ 25,51;150844;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 10:29:15;01/06/2022;R$ 18,00;R$ 17,69;150843;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 10:20:07;01/06/2022;R$ 9,00;R$ 8,80;150842;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:19:25;15/06/2022;R$ 33,99;R$ 29,91;150841;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 10:17:59;01/06/2022;R$ 15,00;R$ 14,74;150840;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:17:19;15/06/2022;R$ 49,99;R$ 43,99;150839;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:16:28;15/06/2022;R$ 37,99;R$ 33,43;150838;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:14:57;15/06/2022;R$ 73,99;R$ 65,11;150837;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:11:07;15/06/2022;R$ 29,99;R$ 26,39;150835;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 10:09:50;15/06/2022;R$ 33,99;R$ 29,91;150834;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 10:06:54;01/06/2022;R$ 18,50;R$ 18,18;150817;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 09:57:45;01/06/2022;R$ 14,00;R$ 13,76;150832;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 09:53:31;31/05/2022;R$ 10,00;R$ 10,00;150831;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 09:39:43;01/06/2022;R$ 27,00;R$ 26,40;150830;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 09:32:42;01/06/2022;R$ 4,00;R$ 3,91;150829;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 09:28:32;31/05/2022;R$ 7,00;R$ 7,00;150828;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Elo;31/05/2022 09:22:50;31/05/2022;R$ 63,50;R$ 62,00;150822;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 09:21:33;01/06/2022;R$ 14,50;R$ 14,25;150827;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 09:19:58;31/05/2022;R$ 8,00;R$ 8,00;150826;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 09:19:31;01/06/2022;R$ 34,00;R$ 33,42;150825;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 09:16:46;01/06/2022;R$ 17,00;R$ 16,71;150824;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 09:07:34;31/05/2022;R$ 15,50;R$ 15,50;150823;1-Gleica;1815;Inverno D´Italia Bragança Paulista
